id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,color,size
SF0001,Nike Alphafly 3,"Tênis Nike Alphafly 3, linha performance/running, disponível em diversas cores e grade 38 ao 43. Consulte disponibilidade de cores e numerações. Importado de Altíssima qualidade.",in stock,new,149.00 BRL,https://sneakersfast.com.br/SF0001.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1787777508/sneakerfast_catalog/SF0001_main.jpg,"https://sneakersfast.com.br/assets/images/SF0001/02.jpg,https://sneakersfast.com.br/assets/images/SF0001/03.jpg,https://sneakersfast.com.br/assets/images/SF0001/04.jpg,https://sneakersfast.com.br/assets/images/SF0001/05.jpg,https://sneakersfast.com.br/assets/images/SF0001/06.jpg,https://sneakersfast.com.br/assets/images/SF0001/07.jpg,https://sneakersfast.com.br/assets/images/SF0001/08.jpg,https://sneakersfast.com.br/assets/images/SF0001/09.jpg",Nike,Várias,"38,39,40,41,42,43"
SF0002,Nike Dunk Low,"Nike Dunk Low, modelo casual de perfil baixo, disponível em diversas combinações de cores. Visual clássico e versátil para uso diário. Produto importado de alta qualidade, com excelente acabamento. Consulte cores, grade e numerações disponíveis.",in stock,new,89.00 BRL,https://sneakersfast.com.br/SF0002.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1787779501/sneakerfast_catalog/SF0002_main.jpg,"https://sneakersfast.com.br/assets/images/SF0002/02.jpg,https://sneakersfast.com.br/assets/images/SF0002/03.jpg,https://sneakersfast.com.br/assets/images/SF0002/04.jpg,https://sneakersfast.com.br/assets/images/SF0002/05.jpg,https://sneakersfast.com.br/assets/images/SF0002/06.jpg,https://sneakersfast.com.br/assets/images/SF0002/07.jpg,https://sneakersfast.com.br/assets/images/SF0002/08.jpg,https://sneakersfast.com.br/assets/images/SF0002/09.jpg",Nike,várias,"34,35,36,37,38,39,40,41,42,43"
SF0003,Nike Air Jordan 1 Mid Pink Toe,"Air Jordan 1 Mid em combinação de rosa, branco e vermelho, com visual marcante e acabamento premium. Modelo importado de alta qualidade, confortável e versátil para compor looks casuais e urbanos. Consulte disponibilidade de grade e numerações.",in stock,new,219.00 BRL,https://sneakersfast.com.br/SF0003.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1787779505/sneakerfast_catalog/SF0003_main.jpg,"https://sneakersfast.com.br/assets/images/SF0003/02.jpg,https://sneakersfast.com.br/assets/images/SF0003/03.jpg,https://sneakersfast.com.br/assets/images/SF0003/04.jpg,https://sneakersfast.com.br/assets/images/SF0003/05.jpg,https://sneakersfast.com.br/assets/images/SF0003/06.jpg,https://sneakersfast.com.br/assets/images/SF0003/07.jpg,https://sneakersfast.com.br/assets/images/SF0003/08.jpg,https://sneakersfast.com.br/assets/images/SF0003/09.jpg",Nike,Rosa,"34,35,36,37,38,39,40,41,42,43"
SF0004,Nike Air Jordan 1 Mid Voodoo Doll,Nike Air Jordan 1 Mid Voodoo Doll disponível na grade 34/44. Consulte disponibilidade de cores e numerações.,in stock,new,229.00 BRL,https://sneakersfast.com.br/SF0004.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1787779511/sneakerfast_catalog/SF0004_main.jpg,"https://sneakersfast.com.br/assets/images/SF0004/02.jpg,https://sneakersfast.com.br/assets/images/SF0004/03.jpg,https://sneakersfast.com.br/assets/images/SF0004/04.jpg,https://sneakersfast.com.br/assets/images/SF0004/05.jpg,https://sneakersfast.com.br/assets/images/SF0004/06.jpg,https://sneakersfast.com.br/assets/images/SF0004/07.jpg,https://sneakersfast.com.br/assets/images/SF0004/08.jpg,https://sneakersfast.com.br/assets/images/SF0004/09.jpg",Nike,Roxo,"34,35,36,37,38,39,40,41,42,43,44"
SF0005,Nike Dunk Low Limited Edition ( Dragon Chinese ),Nike Dunk Low Limited Edition ( Dragon Chinese ) disponível na grade 36/45. Consulte disponibilidade de cores e numerações.,in stock,new,219.00 BRL,https://sneakersfast.com.br/SF0005.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1787779514/sneakerfast_catalog/SF0005_main.jpg,"https://sneakersfast.com.br/assets/images/SF0005/02.jpg,https://sneakersfast.com.br/assets/images/SF0005/03.jpg,https://sneakersfast.com.br/assets/images/SF0005/04.jpg,https://sneakersfast.com.br/assets/images/SF0005/05.jpg,https://sneakersfast.com.br/assets/images/SF0005/06.jpg,https://sneakersfast.com.br/assets/images/SF0005/07.jpg,https://sneakersfast.com.br/assets/images/SF0005/08.jpg,https://sneakersfast.com.br/assets/images/SF0005/09.jpg",Nike,Bege/Marrom,"36,37,38,39,40,41,42,43,44,45"
SF0006,Nike Dunk Low Limited Edition,Nike Dunk Low Limited Edition disponível na grade 34/45. Consulte disponibilidade de cores e numerações.,in stock,new,219.00 BRL,https://sneakersfast.com.br/SF0006.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1787788292/sneakerfast_catalog/SF0006_main.jpg,"https://sneakersfast.com.br/assets/images/SF0006/02.jpg,https://sneakersfast.com.br/assets/images/SF0006/03.jpg,https://sneakersfast.com.br/assets/images/SF0006/04.jpg,https://sneakersfast.com.br/assets/images/SF0006/05.jpg,https://sneakersfast.com.br/assets/images/SF0006/06.jpg,https://sneakersfast.com.br/assets/images/SF0006/07.jpg,https://sneakersfast.com.br/assets/images/SF0006/08.jpg,https://sneakersfast.com.br/assets/images/SF0006/09.jpg",Nike,Bege/Laranja,"34,35,36,37,38,39,40,41,42,43,44,45"
SF0007,Nike SB Dunk Low,Nike SB Dunk Low disponível na grade 34/44. Consulte disponibilidade de cores e numerações.,in stock,new,229.00 BRL,https://sneakersfast.com.br/SF0007.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1787788294/sneakerfast_catalog/SF0007_main.jpg,"https://sneakersfast.com.br/assets/images/SF0007/02.jpg,https://sneakersfast.com.br/assets/images/SF0007/03.jpg,https://sneakersfast.com.br/assets/images/SF0007/04.jpg,https://sneakersfast.com.br/assets/images/SF0007/05.jpg,https://sneakersfast.com.br/assets/images/SF0007/06.jpg,https://sneakersfast.com.br/assets/images/SF0007/07.jpg,https://sneakersfast.com.br/assets/images/SF0007/08.jpg,https://sneakersfast.com.br/assets/images/SF0007/09.jpg",Nike,branco/Preto,"34,35,36,37,38,39,40,41,42,43,44"
SF0008,Nike AF1,Nike AF1 disponível na grade 34/45. Consulte disponibilidade de cores e numerações.,in stock,new,189.00 BRL,https://sneakersfast.com.br/SF0008.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1787788295/sneakerfast_catalog/SF0008_main.jpg,"https://sneakersfast.com.br/assets/images/SF0008/02.jpg,https://sneakersfast.com.br/assets/images/SF0008/03.jpg,https://sneakersfast.com.br/assets/images/SF0008/04.jpg,https://sneakersfast.com.br/assets/images/SF0008/05.jpg,https://sneakersfast.com.br/assets/images/SF0008/06.jpg,https://sneakersfast.com.br/assets/images/SF0008/07.jpg,https://sneakersfast.com.br/assets/images/SF0008/08.jpg,https://sneakersfast.com.br/assets/images/SF0008/09.jpg",Nike,,34/45
SF0009,Nike AF1,Nike AF1 disponível na grade 34/45. Consulte disponibilidade de cores e numerações.,in stock,new,189.00 BRL,https://sneakersfast.com.br/SF0009.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1787788296/sneakerfast_catalog/SF0009_main.jpg,"https://sneakersfast.com.br/assets/images/SF0009/02.jpg,https://sneakersfast.com.br/assets/images/SF0009/03.jpg,https://sneakersfast.com.br/assets/images/SF0009/04.jpg,https://sneakersfast.com.br/assets/images/SF0009/05.jpg,https://sneakersfast.com.br/assets/images/SF0009/06.jpg,https://sneakersfast.com.br/assets/images/SF0009/07.jpg,https://sneakersfast.com.br/assets/images/SF0009/08.jpg,https://sneakersfast.com.br/assets/images/SF0009/09.jpg",Nike,,34/45
SF0010,Nike AF1,Nike AF1 disponível na grade 34/42. Consulte disponibilidade de cores e numerações.,in stock,new,189.00 BRL,https://sneakersfast.com.br/SF0010.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1787788297/sneakerfast_catalog/SF0010_main.jpg,"https://sneakersfast.com.br/assets/images/SF0010/02.jpg,https://sneakersfast.com.br/assets/images/SF0010/03.jpg,https://sneakersfast.com.br/assets/images/SF0010/04.jpg,https://sneakersfast.com.br/assets/images/SF0010/05.jpg,https://sneakersfast.com.br/assets/images/SF0010/06.jpg,https://sneakersfast.com.br/assets/images/SF0010/07.jpg,https://sneakersfast.com.br/assets/images/SF0010/08.jpg,https://sneakersfast.com.br/assets/images/SF0010/09.jpg",Nike,,34/42
SF0011,Nike AF1,Nike AF1 disponível na grade 34/44. Consulte disponibilidade de cores e numerações.,in stock,new,189.00 BRL,https://sneakersfast.com.br/SF0011.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1787788299/sneakerfast_catalog/SF0011_main.jpg,"https://sneakersfast.com.br/assets/images/SF0011/02.jpg,https://sneakersfast.com.br/assets/images/SF0011/03.jpg,https://sneakersfast.com.br/assets/images/SF0011/04.jpg,https://sneakersfast.com.br/assets/images/SF0011/05.jpg,https://sneakersfast.com.br/assets/images/SF0011/06.jpg,https://sneakersfast.com.br/assets/images/SF0011/07.jpg,https://sneakersfast.com.br/assets/images/SF0011/08.jpg,https://sneakersfast.com.br/assets/images/SF0011/09.jpg",Nike,,34/44
SF0012,Nike AF1 Limited Edition,Nike AF1 Limited Edition disponível na grade 34/45. Consulte disponibilidade de cores e numerações.,in stock,new,199.00 BRL,https://sneakersfast.com.br/SF0012.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788252984/sneakerfast_catalog/SF0012_main.jpg,"https://sneakersfast.com.br/assets/images/SF0012/02.jpg,https://sneakersfast.com.br/assets/images/SF0012/03.jpg,https://sneakersfast.com.br/assets/images/SF0012/04.jpg,https://sneakersfast.com.br/assets/images/SF0012/05.jpg,https://sneakersfast.com.br/assets/images/SF0012/06.jpg,https://sneakersfast.com.br/assets/images/SF0012/07.jpg,https://sneakersfast.com.br/assets/images/SF0012/08.jpg,https://sneakersfast.com.br/assets/images/SF0012/09.jpg",Nike,,34/45
SF0013,Nike AF1,Nike AF1 disponível na grade 34/45. Consulte disponibilidade de cores e numerações.,in stock,new,199.00 BRL,https://sneakersfast.com.br/SF0013.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788252985/sneakerfast_catalog/SF0013_main.jpg,"https://sneakersfast.com.br/assets/images/SF0013/02.jpg,https://sneakersfast.com.br/assets/images/SF0013/03.jpg,https://sneakersfast.com.br/assets/images/SF0013/04.jpg,https://sneakersfast.com.br/assets/images/SF0013/05.jpg,https://sneakersfast.com.br/assets/images/SF0013/06.jpg,https://sneakersfast.com.br/assets/images/SF0013/07.jpg,https://sneakersfast.com.br/assets/images/SF0013/08.jpg,https://sneakersfast.com.br/assets/images/SF0013/09.jpg",Nike,,34/45
SF0014,Nike AF1,Nike AF1 disponível na grade 34/44. Consulte disponibilidade de cores e numerações.,in stock,new,199.00 BRL,https://sneakersfast.com.br/SF0014.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788252986/sneakerfast_catalog/SF0014_main.jpg,"https://sneakersfast.com.br/assets/images/SF0014/02.jpg,https://sneakersfast.com.br/assets/images/SF0014/03.jpg,https://sneakersfast.com.br/assets/images/SF0014/04.jpg,https://sneakersfast.com.br/assets/images/SF0014/05.jpg,https://sneakersfast.com.br/assets/images/SF0014/06.jpg,https://sneakersfast.com.br/assets/images/SF0014/07.jpg,https://sneakersfast.com.br/assets/images/SF0014/08.jpg,https://sneakersfast.com.br/assets/images/SF0014/09.jpg",Nike,,34/44
SF0015,Nike AF1,Nike AF1 disponível na grade 34/45. Consulte disponibilidade de cores e numerações.,in stock,new,199.00 BRL,https://sneakersfast.com.br/SF0015.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788252987/sneakerfast_catalog/SF0015_main.jpg,"https://sneakersfast.com.br/assets/images/SF0015/02.jpg,https://sneakersfast.com.br/assets/images/SF0015/03.jpg,https://sneakersfast.com.br/assets/images/SF0015/04.jpg,https://sneakersfast.com.br/assets/images/SF0015/05.jpg,https://sneakersfast.com.br/assets/images/SF0015/06.jpg,https://sneakersfast.com.br/assets/images/SF0015/07.jpg,https://sneakersfast.com.br/assets/images/SF0015/08.jpg,https://sneakersfast.com.br/assets/images/SF0015/09.jpg",Nike,,34/45
SF0016,Nike AF1,Nike AF1 disponível na grade 34/45. Consulte disponibilidade de cores e numerações.,in stock,new,199.00 BRL,https://sneakersfast.com.br/SF0016.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788252988/sneakerfast_catalog/SF0016_main.jpg,"https://sneakersfast.com.br/assets/images/SF0016/02.jpg,https://sneakersfast.com.br/assets/images/SF0016/03.jpg,https://sneakersfast.com.br/assets/images/SF0016/04.jpg,https://sneakersfast.com.br/assets/images/SF0016/05.jpg,https://sneakersfast.com.br/assets/images/SF0016/06.jpg,https://sneakersfast.com.br/assets/images/SF0016/07.jpg,https://sneakersfast.com.br/assets/images/SF0016/08.jpg,https://sneakersfast.com.br/assets/images/SF0016/09.jpg",Nike,,34/45
SF0017,Nike AF1,Nike AF1 disponível na grade 34/45. Consulte disponibilidade de cores e numerações.,in stock,new,199.00 BRL,https://sneakersfast.com.br/SF0017.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788252989/sneakerfast_catalog/SF0017_main.jpg,"https://sneakersfast.com.br/assets/images/SF0017/02.jpg,https://sneakersfast.com.br/assets/images/SF0017/03.jpg,https://sneakersfast.com.br/assets/images/SF0017/04.jpg,https://sneakersfast.com.br/assets/images/SF0017/05.jpg,https://sneakersfast.com.br/assets/images/SF0017/06.jpg,https://sneakersfast.com.br/assets/images/SF0017/07.jpg,https://sneakersfast.com.br/assets/images/SF0017/08.jpg,https://sneakersfast.com.br/assets/images/SF0017/09.jpg",Nike,,34/45
SF0018,Nike AF1,Nike AF1 disponível na grade 34/45. Consulte disponibilidade de cores e numerações.,in stock,new,199.00 BRL,https://sneakersfast.com.br/SF0018.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788252990/sneakerfast_catalog/SF0018_main.jpg,"https://sneakersfast.com.br/assets/images/SF0018/02.jpg,https://sneakersfast.com.br/assets/images/SF0018/03.jpg,https://sneakersfast.com.br/assets/images/SF0018/04.jpg,https://sneakersfast.com.br/assets/images/SF0018/05.jpg,https://sneakersfast.com.br/assets/images/SF0018/06.jpg,https://sneakersfast.com.br/assets/images/SF0018/07.jpg,https://sneakersfast.com.br/assets/images/SF0018/08.jpg,https://sneakersfast.com.br/assets/images/SF0018/09.jpg",Nike,,34/45
SF0019,Nike AF1,Nike AF1 disponível na grade 34/45. Consulte disponibilidade de cores e numerações.,in stock,new,199.00 BRL,https://sneakersfast.com.br/SF0019.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788252991/sneakerfast_catalog/SF0019_main.jpg,"https://sneakersfast.com.br/assets/images/SF0019/02.jpg,https://sneakersfast.com.br/assets/images/SF0019/03.jpg,https://sneakersfast.com.br/assets/images/SF0019/04.jpg,https://sneakersfast.com.br/assets/images/SF0019/05.jpg,https://sneakersfast.com.br/assets/images/SF0019/06.jpg,https://sneakersfast.com.br/assets/images/SF0019/07.jpg,https://sneakersfast.com.br/assets/images/SF0019/08.jpg,https://sneakersfast.com.br/assets/images/SF0019/09.jpg",Nike,,34/45
SF0021,LV Trainer Limited Edition Collaboration Latest colorway,LV Trainer Limited Edition Collaboration Latest colorway disponível na grade 36/44. Consulte disponibilidade de cores e numerações.,in stock,new,399.00 BRL,https://sneakersfast.com.br/SF0021.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788252993/sneakerfast_catalog/SF0021_main.jpg,"https://sneakersfast.com.br/assets/images/SF0021/02.jpg,https://sneakersfast.com.br/assets/images/SF0021/03.jpg,https://sneakersfast.com.br/assets/images/SF0021/04.jpg,https://sneakersfast.com.br/assets/images/SF0021/05.jpg,https://sneakersfast.com.br/assets/images/SF0021/06.jpg,https://sneakersfast.com.br/assets/images/SF0021/07.jpg,https://sneakersfast.com.br/assets/images/SF0021/08.jpg,https://sneakersfast.com.br/assets/images/SF0021/09.jpg",LV,,36/44
SF0022,LV Trainer Limited Edition Collaboration Latest colorway,LV Trainer Limited Edition Collaboration Latest colorway disponível na grade 35/43. Consulte disponibilidade de cores e numerações.,in stock,new,399.00 BRL,https://sneakersfast.com.br/SF0022.html,https://res.cloudinary.com/nr7gedgh/image/upload/v1788252994/sneakerfast_catalog/SF0022_main.jpg,"https://sneakersfast.com.br/assets/images/SF0022/02.jpg,https://sneakersfast.com.br/assets/images/SF0022/03.jpg,https://sneakersfast.com.br/assets/images/SF0022/04.jpg,https://sneakersfast.com.br/assets/images/SF0022/05.jpg,https://sneakersfast.com.br/assets/images/SF0022/06.jpg,https://sneakersfast.com.br/assets/images/SF0022/07.jpg,https://sneakersfast.com.br/assets/images/SF0022/08.jpg,https://sneakersfast.com.br/assets/images/SF0022/09.jpg",LV,,35/43
